ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100400,9707,12,219000364,36691,문촌마을(중),126.7557779,37.67249233
100000009,8321B,12,104000051,05144,구의사거리.광진소방서앞,127.0845805,37.54493286
100100011,106,12,207000067,61047,자동차검사소.한주아파트,127.0471955,37.71862715
100100017,120,12,108000378,09013,수유(강북구청)역,127.0261001,37.63847705
100100500,4312,12,122900101,23572,신분당선.강남역4번출구,127.029565,37.494539
100000015,N854,12,121000135,22211,고속터미널,127.0093531,37.50626419
100000016,N876,12,111000074,12162,응암오거리,126.9161468,37.59073228
100100012,107,12,207000363,61128,의정부시장애인종합복지관,127.0924844,37.74506015
100100018,130,12,109000015,10015,쌍문역,127.0347687,37.64881742
100100019,140,12,108000001,09001,수유3동우체국,127.0290427,37.64124178
100100001,01,12,101000265,02285,힐튼호텔,126.9767113,37.55662674
100100002,03,12,101000039,02137,서울신문사,126.9773647,37.56836329
111000013,775,12,229000495,63108,봉일천시장,126.8069412,37.74365233
109900005,도봉09,12,109900078,10560,서울북부지방검찰청.한양수자인아파트,127.0473814,37.67468658
110900006,노원09,12,110900071,11581,광운대역,127.061412,37.62292118
111900001,은평03,12,111900010,12750,연갈현공판장후문,126.9191125,37.62319418
109900006,도봉08,12,109000077,10162,천주교도봉동교회,127.0428108,37.67131199
110900007,노원08,12,109000059,10144,창동농협물류센터,127.0512467,37.65421248
111000014,761,12,111000213,12303,서부경찰서후문,126.9223367,37.60243264
111900002,은평01,12,111900082,12529,갈현1동주민센터,126.9168212,37.6237008
111900003,은평02,12,111900140,12829,새생명약국앞,126.9182216,37.60602249
109900007,도봉03,12,108000117,09205,대한병원,127.0231693,37.63673375
109900008,도봉04,12,108000115,09203,수유중앙시장,127.0227228,37.64036011
110900008,노원13,12,110900139,11934,대학본부앞,127.0787105,37.63212989
110900009,노원02,12,110900013,11535,상계주공14단지,127.0578625,37.67092171
111900004,은평04,12,111900056,12561,대조동우체국,126.9265349,37.6130339
109900010,노원15,12,110000239,11340,월계보건지소,127.0616865,37.63158315
111000008,674,12,114000049,15151,목동5단지C상가.목동운동장북문,126.8775356,37.53277089
111000015,N877,12,112000147,13230,명지대사거리.우리은행,126.9226917,37.57740807
111900005,은평05,12,111900080,12531,서부경찰서후문,126.9225034,37.60115771
111900006,은평07,12,111900003,12808,현대힐스테이트1차후문,126.9352812,37.61241187
111000016,N75,12,111000121,12209,응암역2번출구,126.9158607,37.60042148
111900007,은평06,12,111900100,12506,선일여고.빅데이터고,126.9127522,37.62051343
111900008,은평08,12,111900162,12853,와산교,126.9141943,37.58888545
